country,company,isin,symbol,combined
germany,Brenntag AG,DE000A1DAHH0,BNRGn,Brenntag AG | DE000A1DAHH0
germany,Fuchs Petrolub AG VZO Pref,DE0005790430,FPEG_p,Fuchs Petrolub AG VZO Pref | DE0005790430
germany,Suess Microtec,DE000A1K0235,SMHNn,Suess Microtec | DE000A1K0235
germany,H&R,DE000A2E4T77,2HR,H&R | DE000A2E4T77
germany,Alstria,DE000A0LD2U1,AOXG,Alstria | DE000A0LD2U1
germany,Amadeus Fire AG,DE0005093108,AMDG,Amadeus Fire AG | DE0005093108
germany,Biotest AG VZ,DE0005227235,BIOG_p,Biotest AG VZ | DE0005227235
germany,Comdirect AG,DE0005428007,CDBG,Comdirect AG | DE0005428007
germany,Centrotec,DE0005407506,CEVG,Centrotec | DE0005407506
germany,Cewe Color,DE0005403901,CWCG,Cewe Color | DE0005403901
germany,DIC Asset AG,DE000A1X3XX4,DICn,DIC Asset AG | DE000A1X3XX4
germany,Deutsche Beteiligungs AG,DE000A1TNUT7,DBANn,Deutsche Beteiligungs AG | DE000A1TNUT7
germany,Constantin Medien AG,DE0009147207,EV4G,Constantin Medien AG | DE0009147207
germany,CTS Eventim AG,DE0005470306,EVDG,CTS Eventim AG | DE0005470306
germany,Grenke,DE000A161N30,GLJn,Grenke | DE000A161N30
germany,Gesco AG,DE000A1K0201,GSC1n,Gesco AG | DE000A1K0201
germany,Hamborner AG,DE0006013006,HABG,Hamborner AG | DE0006013006
germany,Hawesko AG,DE0006042708,HAWG,Hawesko AG | DE0006042708
germany,Hornbach,DE0006083405,HBH,Hornbach | DE0006083405
germany,Indus AG,DE0006200108,INHG,Indus AG | DE0006200108
germany,Jungheinrich AG,DE0006219934,JUNG_p,Jungheinrich AG | DE0006219934
germany,KWS SAAT AG,DE0007074007,KWSG,KWS SAAT AG | DE0007074007
germany,Norma AG,DE000A1H8BV3,NOEJ,Norma AG | DE000A1H8BV3
germany,Patrizia Immobilien,DE000PAT1AG3,PATGn,Patrizia Immobilien | DE000PAT1AG3
germany,Stroeer,DE0007493991,SAXG,Stroeer | DE0007493991
germany,Schuler AG,DE000A0V9A22,SCUGe,Schuler AG | DE000A0V9A22
germany,Sixt AG ST,DE0007231326,SIXG,Sixt AG ST | DE0007231326
germany,Koenig&Bauer AG,DE0007193500,SKBG,Koenig&Bauer AG | DE0007193500
germany,Schaltbau,DE000A2NBTL2,SLTG,Schaltbau | DE000A2NBTL2
germany,Tag Immobilien,DE0008303504,TEGG,Tag Immobilien | DE0008303504
germany,ZEAL Network SE,DE000ZEAL241,TIMAn,ZEAL Network SE | DE000ZEAL241
germany,Takkt AG,DE0007446007,TTKG,Takkt AG | DE0007446007
germany,Wacker Neuson,DE000WACK012,WACGn,Wacker Neuson | DE000WACK012
germany,Zooplus AG,DE0005111702,ZO1G,Zooplus AG | DE0005111702
germany,Evotec AG,DE0005664809,EVTG,Evotec AG | DE0005664809
germany,New Work,DE000NWRK013,NWOn,New Work | DE000NWRK013
germany,PSI AG,DE000A0Z1JH9,PSAGn,PSI AG | DE000A0Z1JH9
germany,GSW Immobilien AG,DE000GSW1111,GIBG,GSW Immobilien AG | DE000GSW1111
germany,Centrotherm,DE000A1TNMM9,CTNGk,Centrotherm | DE000A1TNMM9
germany,Homag AG,DE0005297204,HG1G,Homag AG | DE0005297204
germany,Manz AG,DE000A0JQ5U3,M5ZG,Manz AG | DE000A0JQ5U3
germany,Singulus Tech,DE000A1681X5,SNGGk,Singulus Tech | DE000A1681X5
germany,3U Holding AG,DE0005167902,UUUG,3U Holding AG | DE0005167902
germany,AAP Implantate AG,DE0005066609,AAQG,AAP Implantate AG | DE0005066609
germany,Adler Modemaerkte AG,DE000A1H8MU2,ADDG,Adler Modemaerkte AG | DE000A1H8MU2
germany,Agennix AG,DE000A1A6XX4,AGXG,Agennix AG | DE000A1A6XX4
germany,Ahlers,DE0005009740,AAHG,Ahlers | DE0005009740
germany,Artnet AG,DE000A1K0375,AYDGn,Artnet AG | DE000A1K0375
germany,AS Creation Tapeten,DE000A1TNNN5,ACWNn,AS Creation Tapeten | DE000A1TNNN5
germany,Atoss AG,DE0005104400,AOFG,Atoss AG | DE0005104400
germany,Basler AG,DE0005102008,BSLG,Basler AG | DE0005102008
germany,Baywa AG,DE0005194005,BYWG,Baywa AG | DE0005194005
germany,Biotest AG ST,DE0005227201,BIOG,Biotest AG ST | DE0005227201
germany,SLEEPZ,DE000A2E3772,BTBB,SLEEPZ | DE000A2E3772
germany,BMW Pref,DE0005190037,BMWG_p,BMW Pref | DE0005190037
germany,Brueder Mannesmann,DE0005275507,BMMG,Brueder Mannesmann | DE0005275507
germany,Cancom SE,DE0005419105,COKG,Cancom SE | DE0005419105
germany,Cenit AG,DE0005407100,CSHG,Cenit AG | DE0005407100
germany,China Specialty Glass AG,DE000A1EL8Y8,CSGG,China Specialty Glass AG | DE000A1EL8Y8
germany,CompuGroup AG,DE0005437305,COPMa,CompuGroup AG | DE0005437305
germany,Cropenergies AG,DE000A0LAUP1,CE2G,Cropenergies AG | DE000A0LAUP1
germany,Data Modul AG,DE0005498901,DAMG,Data Modul AG | DE0005498901
germany,DEAG AG,DE000A0Z23G6,LOUDG,DEAG AG | DE000A0Z23G6
germany,DF Deutsche Forfait AG,DE000A2AA204,DFTKn,DF Deutsche Forfait AG | DE000A2AA204
germany,Dr. Hoenle AG,DE0005157101,HNLG,Dr. Hoenle AG | DE0005157101
germany,Draegerwerk ST,DE0005550602,DRWG,Draegerwerk ST | DE0005550602
germany,Eckert&Ziegler AG,DE0005659700,EUZG,Eckert&Ziegler AG | DE0005659700
germany,Einhell VZO,DE0005654933,EING_p,Einhell VZO | DE0005654933
germany,Elmos AG,DE0005677108,ELGG,Elmos AG | DE0005677108
germany,Envitec,DE000A0MVLS8,ETGG,Envitec | DE000A0MVLS8
germany,Epigenomics AG,DE000A11QW50,ECXn,Epigenomics AG | DE000A11QW50
germany,Accentro Real Estate,DE000A0KFKB3,A4Y,Accentro Real Estate | DE000A0KFKB3
germany,Euromicron AG,DE000A1K0300,EUCAn,Euromicron AG | DE000A1K0300
germany,Fair Value AG,DE000A0MW975,FVIG,Fair Value AG | DE000A0MW975
germany,First Sensor AG,DE0007201907,SISG,First Sensor AG | DE0007201907
germany,Francotyp-Postalia,DE000FPH9000,FPHG,Francotyp-Postalia | DE000FPH9000
germany,Funkwerk AG,DE0005753149,FEWG,Funkwerk AG | DE0005753149
germany,Geratherm,DE0005495626,GMEG,Geratherm | DE0005495626
germany,GFT Technologies AG,DE0005800601,GFTG,GFT Technologies AG | DE0005800601
germany,GK Software,DE0007571424,GKSG,GK Software | DE0007571424
germany,GWB Immobilien,DE000A0JKHG0,G7BG,GWB Immobilien | DE000A0JKHG0
germany,Ernst Russ,DE000A161077,HXCKk,Ernst Russ | DE000A161077
germany,Heliad,DE000A0L1NN5,HPBGn,Heliad | DE000A0L1NN5
germany,Henkel ST,DE0006048408,HNKG,Henkel ST | DE0006048408
germany,METRIC Mobility Solutions,DE000A1X3X66,HWSAk,METRIC Mobility Solutions | DE000A1X3X66
germany,Hornbach-Baumarkt,DE0006084403,HBMG,Hornbach-Baumarkt | DE0006084403
germany,Hypoport AG,DE0005493365,HYQGn,Hypoport AG | DE0005493365
germany,Init Innovation,DE0005759807,IXXG,Init Innovation | DE0005759807
germany,Intershop,DE000A0EPUH1,ISHG,Intershop | DE000A0EPUH1
germany,Intica Systems AG,DE0005874846,IS7G,Intica Systems AG | DE0005874846
germany,Invision AG,DE0005859698,IVXG,Invision AG | DE0005859698
germany,Isra Vision,DE0005488100,ISRG,Isra Vision | DE0005488100
germany,IVU Traffic,DE0007448508,IVUG,IVU Traffic | DE0007448508
germany,Kromi,DE000A0KFUJ5,K1RG,Kromi | DE000A0KFUJ5
germany,Leifheit AG,DE0006464506,LEIG,Leifheit AG | DE0006464506
germany,Lloyd Fonds AG,DE000A12UP29,L1OGk,Lloyd Fonds AG | DE000A12UP29
germany,LPKF,DE0006450000,LPKG,LPKF | DE0006450000
germany,Ludwig Beck,DE0005199905,ECKG,Ludwig Beck | DE0005199905
germany,Man SE VZO,DE0005937031,MANG_p,Man SE VZO | DE0005937031
germany,Masterflex,DE0005492938,MZXG,Masterflex | DE0005492938
germany,MBB Industries AG,DE000A0ETBQ4,MBBG,MBB Industries AG | DE000A0ETBQ4
germany,MediClin AG,DE0006595101,MEDG,MediClin AG | DE0006595101
germany,Metro,DE0007257537,CEC1_p,Metro | DE0007257537
germany,MeVis,DE000A0LBFE4,M3VGn,MeVis | DE000A0LBFE4
germany,Mobotix AG,DE0005218309,MBQGn,Mobotix AG | DE0005218309
germany,Mologen,DE000A2LQ900,MGNK,Mologen | DE000A2LQ900
germany,Muehlbauer,DE0006627201,MUBG,Muehlbauer | DE0006627201
germany,Nemetschek AG,DE0006452907,NEKG,Nemetschek AG | DE0006452907
germany,Nexus,DE0005220909,NXUG,Nexus | DE0005220909
germany,OHB AG,DE0005936124,OHBG,OHB AG | DE0005936124
germany,OVB Holding AG,DE0006286560,O4BG,OVB Holding AG | DE0006286560
germany,Paion,DE000A0B65S3,PA8G,Paion | DE000A0B65S3
germany,Paragon AG,DE0005558696,PGNG,Paragon AG | DE0005558696
germany,PNE Wind AG,DE000A0JBPG2,PNEGn,PNE Wind AG | DE000A0JBPG2
germany,Progress Werk Oberkirch,DE0006968001,PWOG,Progress Werk Oberkirch | DE0006968001
germany,Pulsion,DE0005487904,PUS,Pulsion | DE0005487904
germany,PVA Tepla AG,DE0007461006,TPEG,PVA Tepla AG | DE0007461006
germany,R. Stahl AG,DE000A1PHBB5,RSL2,R. Stahl AG | DE000A1PHBB5
germany,Realtech AG,DE0007008906,RTCG,Realtech AG | DE0007008906
germany,RIB Software AG,DE000A0Z2XN6,RIB,RIB Software AG | DE000A0Z2XN6
germany,RWE AG VZO,DE0007037145,RWEG_p,RWE AG VZO | DE0007037145
germany,Sartorius AG VZO,DE0007165631,SATG_p,Sartorius AG VZO | DE0007165631
germany,Secunet AG,DE0007276503,YSNG,Secunet AG | DE0007276503
germany,SFC Energy AG,DE0007568578,F3CG,SFC Energy AG | DE0007568578
germany,SHW AG,DE000A1JBPV9,SW1,SHW AG | DE000A1JBPV9
germany,Sinnerschrader,DE0005141907,SZZG,Sinnerschrader | DE0005141907
germany,Sixt AG VZO,DE0007231334,SIXG_p,Sixt AG VZO | DE0007231334
germany,SMT Scharf AG,DE0005751986,S4AG,SMT Scharf AG | DE0005751986
germany,Softing AG,DE0005178008,SYTG,Softing AG | DE0005178008
